Elapsed Time : 360.63, Accuracy : 14.68
Elapsed Time : 361.63, Accuracy : 14.64
Elapsed Time : 362.63, Accuracy : 14.60
Elapsed Time : 363.64, Accuracy : 14.56
Elapsed Time : 364.64, Accuracy : 14.52
Elapsed Time : 365.64, Accuracy : 14.48
Elapsed Time : 366.64, Accuracy : 14.44
Elapsed Time : 367.64, Accuracy : 14.40
Elapsed Time : 368.65, Accuracy : 14.36
Elapsed Time : 369.65, Accuracy : 14.32
Elapsed Time : 370.65, Accuracy : 14.29
Elapsed Time : 371.65, Accuracy : 14.25
Elapsed Time : 372.65, Accuracy : 14.21
Elapsed Time : 373.65, Accuracy : 14.17
Elapsed Time : 374.65, Accuracy : 14.13
Elapsed Time : 375.66, Accuracy : 14.10
Elapsed Time : 376.66, Accuracy : 14.06
Elapsed Time : 377.66, Accuracy : 14.02
Elapsed Time : 378.67, Accuracy : 13.98
Elapsed Time : 379.67, Accuracy : 13.95
Elapsed Time : 380.67, Accuracy : 14.17
Elapsed Time : 381.67, Accuracy : 14.40
Elapsed Time : 382.67, Accuracy : 14.62
Elapsed Time : 383.68, Accuracy : 14.84
Elapsed Time : 384.68, Accuracy : 15.06
Elapsed Time : 385.69, Accuracy : 15.28
Elapsed Time : 386.69, Accuracy : 15.50
Elapsed Time : 387.69, Accuracy : 15.72
Elapsed Time : 388.70, Accuracy : 15.94
Elapsed Time : 389.70, Accuracy : 16.15
Elapsed Time : 390.70, Accuracy : 16.37
Elapsed Time : 391.71, Accuracy : 16.58
Elapsed Time : 392.71, Accuracy : 16.79
Elapsed Time : 393.71, Accuracy : 17.01
Elapsed Time : 394.72, Accuracy : 17.22
Elapsed Time : 395.72, Accuracy : 17.42
Elapsed Time : 396.72, Accuracy : 17.63
Elapsed Time : 397.73, Accuracy : 17.84
Elapsed Time : 398.73, Accuracy : 18.05
Elapsed Time : 399.74, Accuracy : 18.25
Elapsed Time : 400.74, Accuracy : 18.45
Elapsed Time : 401.74, Accuracy : 18.66
Elapsed Time : 402.75, Accuracy : 18.86
Elapsed Time : 403.75, Accuracy : 19.06
Elapsed Time : 404.75, Accuracy : 19.26
Elapsed Time : 405.76, Accuracy : 19.46
Elapsed Time : 406.76, Accuracy : 19.66
Elapsed Time : 407.76, Accuracy : 19.85
Elapsed Time : 408.77, Accuracy : 20.05
Elapsed Time : 409.77, Accuracy : 20.24
Elapsed Time : 410.78, Accuracy : 20.44
Elapsed Time : 411.78, Accuracy : 20.63
Elapsed Time : 412.78, Accuracy : 20.82
Elapsed Time : 413.78, Accuracy : 21.01
Elapsed Time : 414.79, Accuracy : 21.20
Elapsed Time : 415.79, Accuracy : 21.39
Elapsed Time : 416.79, Accuracy : 21.58
Elapsed Time : 417.80, Accuracy : 21.77
Elapsed Time : 418.80, Accuracy : 21.96
Elapsed Time : 419.80, Accuracy : 22.14
Elapsed Time : 420.81, Accuracy : 22.33
Elapsed Time : 421.81, Accuracy : 22.51
Elapsed Time : 422.82, Accuracy : 22.70
Elapsed Time : 423.82, Accuracy : 22.88
Elapsed Time : 424.82, Accuracy : 23.06
Elapsed Time : 425.83, Accuracy : 23.24
Elapsed Time : 426.83, Accuracy : 23.42
Elapsed Time : 427.83, Accuracy : 23.60
Elapsed Time : 428.83, Accuracy : 23.78
Elapsed Time : 429.84, Accuracy : 23.95
Elapsed Time : 430.84, Accuracy : 24.13
Elapsed Time : 431.85, Accuracy : 24.31
Elapsed Time : 432.85, Accuracy : 24.48
Elapsed Time : 433.85, Accuracy : 24.65
Elapsed Time : 434.86, Accuracy : 24.83
Elapsed Time : 435.86, Accuracy : 25.00
Elapsed Time : 436.86, Accuracy : 25.17
Elapsed Time : 437.87, Accuracy : 25.34
Elapsed Time : 438.87, Accuracy : 25.51
Elapsed Time : 439.87, Accuracy : 25.68
Elapsed Time : 440.87, Accuracy : 25.85
Elapsed Time : 441.88, Accuracy : 26.02
Elapsed Time : 442.88, Accuracy : 26.19
Elapsed Time : 443.89, Accuracy : 26.35
Elapsed Time : 444.89, Accuracy : 26.52
Elapsed Time : 445.89, Accuracy : 26.68
Elapsed Time : 446.90, Accuracy : 26.85
Elapsed Time : 447.90, Accuracy : 27.01
Elapsed Time : 448.91, Accuracy : 27.17
Elapsed Time : 449.91, Accuracy : 27.33
Elapsed Time : 450.91, Accuracy : 27.49
Elapsed Time : 451.91, Accuracy : 27.65
Elapsed Time : 452.92, Accuracy : 27.81
Elapsed Time : 453.92, Accuracy : 27.97
Elapsed Time : 454.93, Accuracy : 28.13
Elapsed Time : 455.93, Accuracy : 28.29
Elapsed Time : 456.94, Accuracy : 28.45
Elapsed Time : 457.94, Accuracy : 28.60
Elapsed Time : 458.94, Accuracy : 28.76
Elapsed Time : 459.95, Accuracy : 28.91
Elapsed Time : 460.95, Accuracy : 29.07
Elapsed Time : 461.95, Accuracy : 29.22
Elapsed Time : 462.95, Accuracy : 29.37
Elapsed Time : 463.96, Accuracy : 29.53
Elapsed Time : 464.96, Accuracy : 29.68
Elapsed Time : 465.97, Accuracy : 29.83
Elapsed Time : 466.97, Accuracy : 29.98
Elapsed Time : 467.98, Accuracy : 30.13
Elapsed Time : 468.98, Accuracy : 30.28
Elapsed Time : 469.99, Accuracy : 30.43
Elapsed Time : 470.99, Accuracy : 30.57
Elapsed Time : 471.99, Accuracy : 30.72
Elapsed Time : 472.99, Accuracy : 30.87
Elapsed Time : 474.00, Accuracy : 31.01
Elapsed Time : 475.00, Accuracy : 31.16
Elapsed Time : 476.00, Accuracy : 31.30
Elapsed Time : 477.01, Accuracy : 31.45
Elapsed Time : 478.01, Accuracy : 31.59
Elapsed Time : 479.01, Accuracy : 31.73
Elapsed Time : 480.02, Accuracy : 31.87
Elapsed Time : 481.02, Accuracy : 32.02
Elapsed Time : 482.03, Accuracy : 32.16
Elapsed Time : 483.03, Accuracy : 32.30
Elapsed Time : 484.03, Accuracy : 32.44
Elapsed Time : 485.04, Accuracy : 32.58
Elapsed Time : 486.04, Accuracy : 32.72
Elapsed Time : 487.04, Accuracy : 32.85
Elapsed Time : 488.05, Accuracy : 32.99
Elapsed Time : 489.05, Accuracy : 33.13
Elapsed Time : 490.06, Accuracy : 33.27
Elapsed Time : 491.06, Accuracy : 33.40
Elapsed Time : 492.06, Accuracy : 33.54
Elapsed Time : 493.07, Accuracy : 33.67
Elapsed Time : 494.07, Accuracy : 33.81
Elapsed Time : 495.07, Accuracy : 33.94
Elapsed Time : 496.07, Accuracy : 34.07
Elapsed Time : 497.08, Accuracy : 34.21
Elapsed Time : 498.08, Accuracy : 34.34
Elapsed Time : 499.08, Accuracy : 34.47
Elapsed Time : 500.09, Accuracy : 34.60
Elapsed Time : 501.09, Accuracy : 34.73
Elapsed Time : 502.10, Accuracy : 34.86
Elapsed Time : 503.10, Accuracy : 34.99
